code,name
1,الأصول
101,الأصول الثابتة
101001,الأصول الثابتة - ثلاجات التبريد
101001001,الأصول الثابتة - ثلاجة التبريد - 1
101001002,الأصول الثابتة - ثلاجة التبريد - 2
101002,الأصول الثابتة - كباسات التبريد
101002001,الأصول الثابتة - كباتسات تبريد - 1
101003,الأصول الثابتة - كمبيوتر وطابعات وبرامج
101003001,الأصول الثابتة - كمبيوتر وطابعات - Lap top
101003002,الأصول الثابتة - كمبيوتر وطابعات - Disk top
101003003,الأصول الثابتة - كمبيوتر وطابعات - طابعات
101004,الأصول الثابتة - ماكينات التعبئة والتغليف
101004001,الأصول الثابتة - ماكينات التعبئة والتغليف - 1
101005,الأصول الثابتة - الميزان الالكتروني
102,البنوك والنقدية
102001,حسابات البنوك
102001001,حساب بنك - CIB - بالجنية المصري
102001002,حساب بنك - CIB - بالدولار
102001003,حساب بنك - CPS - CIB
102001004,حساب نقدية بالصندوق
102002,حسابات النقدية
102002001,نقدية بالخزينة - الرئيسية - بالجنية المصري
102002002,نقدية بالخزينة - الرئيسية - بالدولار
102003,العهد المؤقتة
103,العملاء
103001,عملاء - محليين
103001001,عملاء - محليين - 1
103002,عملاء - جملة
103002001,عملاء - جملة - 1
103003,عملاء - تصدير
103003001,عملاء - تصدير - 1
104,مدينون متنوعون
104001,الإيرادات المستحقة
104002,المصروفات المقدمة
104003,تأمينات لدى الغير
104004,ضرائب مدينة
104004001,ضرائب مدينة - خصم من المنبع
104005,أرصدة مدينة أخرى
104005001,أرصدة مدينة أخرى - سلف عاملين
105,المخزون
105001,مخزن - الثلاجة رقم 1
105001001,مخزون - ثلاجة رقم 1 - تمور خام
105001002,مخزون - ثلاجة رقم 1 - تمور تحت التشغيل
105001003,مخزون - ثلاجة رقم 1 - تمور جاهزة للبيع
105002,مخزن - الثلاجة رقم 2
105002001,مخزون - ثلاجة رقم 2 - تمور خام
105002002,مخزون - ثلاجة رقم 2 - تمور تحت التشغيل
105002003,مخزون - ثلاجة رقم 2 - تمور جاهزة للبيع
105003,مخزن - الثلاجة رقم 3
105003001,مخزون - ثلاجة رقم 3 - تمور خام
105003002,مخزون - ثلاجة رقم 3 - تمور تحت التشغيل
105003003,مخزون - ثلاجة رقم 3 - تمور جاهزة للبيع
105004,مخزن - مواد التعبئة والتغليف
105004001,مواد التعبئة والتغليف - كرتون
105005,مخزن - مواد ومهمات
2,الإلتزامات وحقوق الملكية
201,حسابات رأس المال
201001,رأس المال المدفوع
201001001,رأس المال - رأس المال المدفوع
201002,زيادة رأس المال
201003,الأرباح والخسائر
201003001,الأرباح والخسائر - أرباح وخسائر العام
201003002,الأرباح والخسائر - سنوات سابقة
202,التزمات غير متداولة
202001,التزمات الإيجار
202002,قروض طويلة الاجل
203,التزمات متداولة
203001,الموردين
203002,المخصصات
203003,حساب جاري الشركاء
203004,ضرائب دائنة
203004001,ضرائب دائنة - ضرائب القيمة المضافة
203004002,ضرائب دائنة - ضرائب كسب العمل
203004003,ضرائب دائنة - ضرائب الأرباح التجارية 1%
203004004,ضرائب دائنة - ضرائب الأرباح التجارية 3%
203004005,ضرائب دائنة - ضرائب الأرباح التجارية 5%
203004006,ضرائب دائنة - ضرائب الدخل
203005,المصروفات المستحقة
203005001,المصروفات المستحقة - صافي المرتبات المستحقة
203005002,المصروفات المستحقة - إيجارات مستحقة
203006,أرصدة دائنة أخرى - متنوعة
203006001,أرصدة دائنة - حصة الشركة
203006002,أرصدة دائنة - حصة العامل
203006003,أرصدة دائنة - الهيئة القومية للتأمينات
203007,مجمع الإهلاك
3,المصروفات
301,مصروفات العمليات والتشغيل
301001,مصروفات التشغيل
301001001,مصروفات التشغيل - تكلفة مبيعات - تمور خام
301001002,مصروفات التشغيل - تكلفة البضاعة - جاهزة للبيع
301001003,مصروفات التشغيل - تحميل وتنزيل
301001004,مصروفات التشغيل - تبخير التمور
301001005,مصروفات التشغيل - نقل ونولون
301001006,مصروفات التشغيل - إعاشة عمال
301001007,مصروفات التشغيل - أجور ومرتبات
301001008,مصروفات التشغيل - تأمينات اجتماعية
302,مصروفات الإدارة العامة
302001,مصروفات عمومية وإدارية وتسويقية
302001001,مصروفات عمومية - أجور ومرتبات
302001002,مصروفات عمومية - إيجار المقر
302001003,مصروفات عمومية - اتصالات وانترنت
302001004,مصروفات عمومية - أدوات مكتبية وتصوير
302001005,مصروفات عمومية - مصاريف كمبيوتر وبرامج
302001006,مصروفات عمومية - بوفية وضيافة
302001007,مصروفات عمومية - مصاريف سيارات
302001008,مصروفات عمومية - كهرباء
302001009,مصروفات عمومية - مستلزمات طبية
302001010,مصروفات عمومية - أتعاب محاماه
302001011,مصروفات عمومية - مصروفات وعمولات بنكية
302001013,مصروفات عمومية - تأمينات اجتماعية
302001014,مصروفات عمومية - مراقبي حسابات
302001015,مصروفات عمومية - انتقالات
302001016,مصروفات عمومية - إكراميات
302001017,مصروفات عمومية - مصاريف إدارية متنوعة
302001018,مصروفات عمومية - دعاية وإعلان
302001019,مصروفات عمومية - مصروف إهلاك الأصول الثابتة
302001020,مصروفات عمومية - رسوم ودمغات وغرامات
302001021,مصروفات عمومية - رسوم طريق
302001025,مصروفات عمومية - حوافز ومكافآت
302001026,مصروفات عمومية - مصروفات سفر
302001027,مصروفات عمومية - مصاريف صيانة ونظافة
4,الإيرادات
401,إيرادات مباشرة
401001,إيرادات المشاريع
401001001,إيرادات - مبيعات تمور خام
401001002,إيرادات - مبيعات تمور جاهزة للبيع
402,الإيرادات غير مباشرة
402001,إيرادات غير مباشرة
402001001,إيرادات غير مباشرة - فوائد بنكية
402001002,إيرادات غير مباشرة - خصم مكتسب
402001003,إيرادات غير مباشرة - أرباح وخسائر تقييم عملة
402001004,إيرادات غير مباشرة - فوائد مكتسبة
